"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","normalized_z"
1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0.462762997,0,0,0.841519431,0,0,0,0.999997983,0,0
1,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0.393545959,0,0,0.999842386,0,0,0,1,0,0
1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.119592008,0,0,0.997065059,0,0,0,1,0,0
1,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.232152088,0.344624682,0.403900972,0.998094687,1,0.168756554,0.239305001,0.998866974,0.583333333,0
0,0,1,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0.114561496,0.616551424,0.181851053,0.998239934,1,0.314741532,0.107870794,0.998895607,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.084384222,0.475058689,0.570063392,0.990493241,1,0.237312457,0.337260042,0.996659054,0.583333333,0
0,1,1,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0.501358142,0.692783897,0.169462633,0.990717306,1,0.357816839,0.100526164,0.9963795,0.583333333,0
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160567089,0,0,0.958671875,0,0,0,1,0,0
1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.217528734,0,0,0.984377442,0,0.090749403,0.031079407,0.99999993,0.416666667,0
0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.097828817,0,0,0.984108582,0,0,0,1,0,0
0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0.220401379,0.655977157,0.002842288,0.963747583,1,0.336898567,0.001686506,0.989793281,0.583333333,0
0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.187201617,0.400203446,0.988702062,0.997181072,1,0.197643585,0.581509611,0.99887696,0.583333333,0
1,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.070149981,0.021824084,0.569556338,0.996925243,1,0.010174086,0.336961825,0.998354436,0.583333333,0
0,1,1,1,0,1,1,0,0,0,0,1,0,0,0,0,0,0.417756272,0.202070847,0.941648483,0.911783289,1,0.096821951,0.554286383,0.982388598,0.583333333,0
