"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","normalized_z"
1,1,1,1,0,1,1,0,1,0,0,1,0,0,0,0,0,0.452513823,0.06702345,0.49531303,0.916214615,1,0.031460796,0.293247204,0.972203324,0.583333333,0.032732494,0.374174071,0.971863493,0.722222222,0.030290404,0.425837426,0.984274227,0.791666667,1.24782439681059e-06
0,0,1,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0.101214019,0.461481076,0.79668584,0.998186515,1,0.230051476,0.470019875,0.998771379,0.583333333,0.254590119,0.594269128,0.999117474,0.722222222,0.250987063,0.666710613,0.999629273,0.791666667,0
1,1,1,1,1,1,0,1,1,1,1,0,1,0,0,1,0,0.175944634,0.865649198,0.488488642,0.993458387,1,0.45913371,0.28922443,0.996740268,0.583333333,0.542716056,0.369099971,0.997605852,0.722222222,0.796803377,0.52668813,0.999320801,1,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.190777078,0,0,0.999082494,0,0,0,1,0,0,0,1,0,0,0,1,0,0
1,1,1,1,0,1,1,0,1,0,1,0,0,0,0,1,0,0.301416352,0.139079235,0.367107219,0.834541248,1,0.066003353,0.217561085,0.952010763,0.583333333,0.097427825,0.384246517,0.95384083,1,0.083275402,0.39984278,0.97412678,1,1.83434775580249e-05
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0.12198635,0,0,0.999145962,0,0,0,1,0,0,0,1,0,0,0,1,0,0
0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.132706448,0,0,0.868214455,0,0,0,0.999999166,0,0,0,1,0,0,0,1,0,0
0,1,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0.133266655,0.965973537,0.315922193,0.976551356,1,0.520316947,0.18728622,0.991406711,0.583333333,0.625422778,0.239801475,0.993219182,0.722222222,0.673120474,0.27443004,0.997070296,0.791666667,1.00152722781743e-08
1,1,1,1,0,1,0,0,1,0,1,0,0,1,0,1,0,0.181480717,0.040032076,0.94809176,0.774299742,1,0.01871411,0.55801813,0.942256169,0.583333333,0.026943013,0.95514045,0.920315407,1,0.022660573,0.957031315,0.972644436,1,1.41108122239109e-05
0,0,1,1,1,1,0,1,1,0,0,0,1,0,0,0,0,0.018191045,0.904426099,0.47614831,0.990704844,1,0.482570916,0.281948283,0.99579548,0.583333333,0.574113525,0.359916123,0.996895038,0.722222222,0.611085977,0.409899158,0.998738536,0.791666667,0
1,1,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1,0.77033189,0,0,0.999975828,0,0,0,1,0,0.137026118,0.003633905,1,0.277777778,0.085874843,0.002856433,1,0.208333333,0
1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0.199736535,0.935022287,0.737281488,0.518907583,1,0.9252484,0.741282149,0.912800345,1,0.909706903,0.752874437,0.940258059,1,0.898182496,0.7681032,0.973325665,1,0.000232025189361607
1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,0.381619036,0.89543519,0.84045621,0.858204503,1,0.869158353,0.8430887,0.978670254,1,0.850422296,0.850858559,0.983873455,1,0.83423688,0.861434586,0.993128214,1,9.33833109284521e-07
1,1,1,1,0,1,0,1,1,0,1,0,1,1,0,1,0,0.198628535,0.812841784,0.648617901,0.830300625,1,0.781791183,0.653211182,0.972344627,1,0.751229429,0.666667025,0.977567311,1,0.724406175,0.684231008,0.989931532,1,3.96288291459879e-06
1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0.044923407,0,0,0.581529317,0,0,0,0.998548452,0,0,0,0.999994433,0,0,0,0.999999989,0,0
0,1,1,1,1,1,0,1,0,0,0,0,1,0,0,0,0,0.162093122,0.821589373,0.116005865,0.969985012,1,0.432822465,0.068824835,0.988503684,0.583333333,0.507890549,0.088306056,0.989850783,0.722222222,0.532677953,0.101396546,0.995100586,0.791666667,8.87452658027144e-08
1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0.220766431,0,0,0.991795229,0,0.083666193,0.405907765,0.999999127,0.416666667,0.046395504,0.280522623,1,0.277777778,0.029076257,0.220504939,1,0.208333333,0
